index,id,datetime,text,user_name,sentiment,rwt_retweet_count,markersize_1,markersize_2,markersize_3,markersize_4,single_tweet_history_flag,color_1,color_2,color_3,color_4,keyword_tweet_idx,callout_1_flag,callout_1_text,callout_2_flag,callout_2_text,callout_3_flag,callout_3_text,callout_4_flag,callout_4_text
2821,788118320079835136,2016-10-17 20:43:44,"RT @virgehall: Actual racism. We have no advocacy groups &amp; ""anti-racist"" ones don't care as they only exist to keep us in our place
https:/…",Calum MacKenzie,-0.455276,50.0,3.0,2.0,3.93223533573,3.93223533573,False,0,0,0,0,False,0,,0,,0,,0,
2822,788118446416470016,2016-10-17 20:44:14,Eight members of 'openly racist' violent Asian sex gang raped girls https://t.co/BWLXA5PUc3 via @MailOnline,timmy time,-0.684777,3.0,3.0,2.0,1.82985505494,1.82985505494,False,0,0,2,2,False,0,,0,,0,,0,
2823,788118511117803520,2016-10-17 20:44:30,RT @HuwGruffydd: Eight Muslim immigrant men convicted of sexually exploiting young girls in Rotherham. https://t.co/Wdqz46YLuQ https://t.co…,vinko vasle,-0.623017,8.0,3.0,2.0,2.07052984768,2.07052984768,False,0,0,0,3,True,0,,0,,0,,0,
2824,788118552863727616,2016-10-17 20:44:40,RT @BBCLookNorth: Rotherham child abuse charges: Eight guilty https://t.co/p3pe6FPPvr https://t.co/IIrdjfjBX7,REMA,-0.469202,4.0,3.0,2.0,1.62450479271,1.62450479271,False,0,0,0,0,False,0,,0,,0,,0,
2825,788118693616164868,2016-10-17 20:45:13,"RT @virgehall: Actual racism. We have no advocacy groups &amp; ""anti-racist"" ones don't care as they only exist to keep us in our place
https:/…",Cmndr Jonty Campbell,-0.455276,50.0,3.0,2.0,3.93223533573,3.93223533573,False,0,0,0,0,False,0,,0,,0,,0,
2826,788118692164997120,2016-10-17 20:45:13,RT @CBEMOB: Eight members of 'openly racist' violent Asian sex gang raped girls https://t.co/BWLXA5PUc3 via @MailOnline,les ball,-0.684777,3.0,3.0,2.0,1.4689007046,1.4689007046,False,0,0,0,0,False,0,,0,,0,,0,
2827,788118720073859073,2016-10-17 20:45:20,RT @PA: Eight men convicted of sexually exploiting girls in Rotherham https://t.co/QGjTG9IJc6 by @AmyMurphyPA https://t.co/xTtv6KShDm,Jean_Nadjib,-0.644563,104.0,3.0,2.0,5.08114593902,5.08114593902,False,0,0,0,0,False,0,,0,,0,,0,
2828,788118827720663040,2016-10-17 20:45:45,RT @SeeMeHearMeWM: https://t.co/ffdfNTm6Mw This verdict is testament to the bravery of @emmajackson2010 &amp; her determination to get her just…,Lucy Butler,0.7671,13.0,3.0,2.0,2.45403172754,2.45403172754,False,0,0,0,0,False,0,,0,,0,,0,
2829,788118903293632512,2016-10-17 20:46:03,RT @MarkAnsell: BREAKING NEWS - 8 men have been found GUILTY of 16 charges in connection with child sex abuse of 3 girls in Rotherham betwe…,REMA,-0.772672,26.0,3.0,2.0,3.12781221811,3.12781221811,False,0,0,0,0,False,0,,0,,0,,0,
2830,788118942782984193,2016-10-17 20:46:13,RT @PA: Eight men convicted of sexually exploiting girls in Rotherham https://t.co/QGjTG9IJc6 by @AmyMurphyPA https://t.co/xTtv6KShDm,Valtiel,-0.644563,104.0,3.0,2.0,5.08114593902,5.08114593902,False,0,0,0,0,False,0,,0,,0,,0,
